date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:17:57	52/52	---M-Z	200	added ('OK')	text/plain	etag:%224803b3-21-468db25f851c0%22	http://www.savewalterwhite.com/robots.txt		(from )
19:17:57	12559/12559	---M-Z	200	added ('OK')	text/html	etag:%223403b2-310f-4eb8a73e14540%22	http://www.savewalterwhite.com/	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/index.html	(from )
19:17:57	2006/2006	---M--	200	added ('OK')	text/css	etag:%224803b4-7d6-4eb8a7910c900%22	http://www.savewalterwhite.com/save-walter-white.css	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/save-walter-white.css	(from http://www.savewalterwhite.com/)
19:18:02	24232/24232	---M--	200	added ('OK')	image/jpeg	etag:%223403ac-5ea8-46a6cf092b000%22	http://www.savewalterwhite.com/img/walter_3.jpg	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/img/walter_3.jpg	(from http://www.savewalterwhite.com/)
19:18:02	30454/30454	---M--	200	added ('OK')	image/jpeg	etag:%224803ab-76f6-46a6cf0836dc0%22	http://www.savewalterwhite.com/img/walter_2.jpg	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/img/walter_2.jpg	(from http://www.savewalterwhite.com/)
19:18:03	58744/58744	---M--	200	added ('OK')	image/jpeg	etag:%223403aa-e578-46a6cf0836dc0%22	http://www.savewalterwhite.com/img/walter_1.jpg	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/img/walter_1.jpg	(from http://www.savewalterwhite.com/)
19:18:04	33294/33294	---M--	200	added ('OK')	image/jpeg	etag:%224803ad-820e-46a6cf092b000%22	http://www.savewalterwhite.com/img/walter_4.jpg	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/img/walter_4.jpg	(from http://www.savewalterwhite.com/)
19:18:07	17380/17380	---M--	200	added ('OK')	image/jpeg	etag:%224803b0-43e4-46a6cf092b000%22	http://www.savewalterwhite.com/img/walter_7.jpg	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/img/walter_7.jpg	(from http://www.savewalterwhite.com/)
19:18:08	32691/32691	---M--	200	added ('OK')	image/jpeg	etag:%224803ae-7fb3-46a6cf092b000%22	http://www.savewalterwhite.com/img/walter_5.jpg	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/img/walter_5.jpg	(from http://www.savewalterwhite.com/)
19:18:08	31554/31554	---M--	200	added ('OK')	image/jpeg	etag:%223403af-7b42-46a6cf092b000%22	http://www.savewalterwhite.com/img/walter_6.jpg	C:/Users/UTENTE/Desktop/sito/Lezzo/www.savewalterwhite.com/img/walter_6.jpg	(from http://www.savewalterwhite.com/)
19:18:08	472/472	---M--	200	added ('OK')	application/javascript	etag:%2209d1dfa9fa6d01:0%22	http://008.free-counters.co.uk/count-029.js	C:/Users/UTENTE/Desktop/sito/Lezzo/008.free-counters.co.uk/count-029.js	(from http://www.savewalterwhite.com/)
19:18:09	0/0	---M--	301	error ('Moved%20Permanently')	application/javascript	date:Fri,%2028%20Oct%202022%2017:18:09%20GMT	http://www.amctv.com/wp-content/themes/amc/assets/omniture/js/s_code.js	C:/Users/UTENTE/Desktop/sito/Lezzo/www.amctv.com/wp-content/themes/amc/assets/omniture/js/s_code.b.delayed	(from http://www.savewalterwhite.com/)
